#Sample ID	Index.AO	all_data	Latitude	Longitude	Depth	Date.Collection	PlotCreated	Type	Dry.weight.g_g.2017	ResinP.ppm.2017	Soil.pH.water.2017	Soil.pH.CaCl2.2017	pH.water	pH.CaCl2	LOI.per	Total.C.per	Total.N.per	Total.P.mg_kg	DOC_mg.C_kg	DON_mg.N_kg	DOC_DON	NH4.mg.N_kg	NO3.mg.N_kg	TDN.mg.N_kg	DIN.mg.N_kg	ResinP.mg_kg	Meh.Al.mg.Al_kg	Meh.Ca.mg.Ca_kg	Meh.Fe.mg.Fe_kg	Meh.K.mg.K_kg	Meh.Mg.mg.Mg_kg	Meh.Mn.mg.Mn_kg	Meh.P.mg.P_kg	Meh.Zn.mg.Zn_kg	Ca_Mg	N.E_TP.mg_kg	N.E.Pi.mg_kg	NE.Po.mg_kg	C.N	C.P	N.P	C.Po	C.N.atomic	C.P.atomic	N.P.atomic	C.Po.atomic	TEB	ECEC	BS	FumRel.C	FumRel.N	FumRel.P	MUP	bisMUP	BG	NAG	SULF	MUP.1	bisMUP.1	MUP.2	bisMUP.2	PME.PDE	PME.PDE.1	MUP.SMBC.corr	bisMUP.SMBcorr	BG.SMB	NAG.SMB	SULF.SMB	BG.NA	BG.AP	NA.AP	MUP.TC	bisMUP.TC	BG.TC	NAG.TC	SULF.TC	SMB.C	SMB.N	SMB.P	SMB.C.N	SMB.C.P	SM.N.P	SMB.C.N.1	SMB.C.P.1	SM.N.P.1	Ox.Al	Ox.Fe	Ox.Mn	Ox.P	Ox.Al.1	Ox.Fe.1	Ox.Mn.1	Ox.P.1	DPS	Date.Soil.Measurements	MAT	MDR	MAXT	MINT	MAP	PSEA	Aridity_Index	NPP_2008_2019
B6_0202	757	yes	9.152997	-79.849651	0-10 cm	11-Dec-17	B6	plot	0.59	8.13	6.47	5.88	5.76	4.81	19.05450463	4.44	0.43	772.1029532	235.469683	27.06917783	8.7	5.015450599	0.67547124	32.76009967	5.690921839	2.237543665	4447.5	811	528.3	45.5	125.9	90.3	7.8	3.2	3.9	NA	NA	NA	10.2	57.4	5.6		11.9	148.1	12.4		5.2	57.8	9	532.9	106.8	31.6	30.2	4.7	3.5	3.4	4.3	21.7	2	0.4	0	6.4	10.9	26	4	2.9	2.9	3.6	1.03	0.12	0.11	68.1	10.6	7.9	7.7	9.7	1184	237	79	5	15	3	5.8	38.7	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B6_0204	758	yes	9.152997	-79.849651	0-10 cm	11-Dec-17	B6	plot	0.58	6.42	5.92	4.72	5.52	4.71	19.70308789	4.63	0.47	742.3345775	269.4667972	31.92634924	8.4	1.444044094	3.83188273	37.20227607	5.275926824	1.619430144	4429.8	990.6	361.2	50.2	165.8	153.3	6.9	4.5	3.6	NA	NA	NA	9.9	62.4	6.3		11.5	160.9	14		6.4	58.2	11	441.9	97.4	29.7	41.3	5.6	5.7	5	5.1	21	2	0.8	0.1	7.4	10.3	42	5.7	5.8	5.1	5.1	1.15	0.14	0.12	89.1	12	12.3	10.7	10.9	982	216	74	4.5	13.2	2.9	5.3	34.1	6.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B3_0202	772	yes	9.149386	-79.851846	0-10 cm	13-Dec-17	B3	plot	0.37	12.79	6.25	5.44	5.75	4.89	16.17664666	2.52	0.27	475.1603469	160.5156907	17.22795612	9.3	1.003821709	1.66827309	19.90005092	2.672094799	0.223808024	888.1	903.7	117.2	41.7	187	340	0.9	2.4	2.9	NA	NA	NA	9.3	53.1	5.7		10.8	136.9	12.7		6.2	17.9	34	235.7	49.7	11.1	18.4	5.4	3.4	1.9	3.1	11.5	1.6	0.5	0	3.4	7.2	35	10.3	6.5	3.6	5.9	1.79	0.18	0.1	73	21.4	13.4	7.5	12.3	524	110	28	4.7	18.8	4	5.5	48.6	8.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Sep-10	26.2	6.8	31.2	22	2566	56	1.83	0.54
B3_0301	774	yes	9.149386	-79.851846	0-10 cm	13-Dec-17	B3	plot	0.56	3.81	6.46	5.67	7.35	6.69	24.16310137	7.17	0.67	692.7949009	105.4883409	9.301067393	11.3	2.981885954	4.593922035	16.87687538	7.57580799	3.102255169	631.1	5930.8	98.5	82.8	360.2	364.8	1.6	7.1	10	NA	NA	NA	10.7	103.5	9.7		12.5	267	21.4		32.8	41.6	79	620.3	132	29.4	20.6	2.7	4.2	4.2	6.2	9.5	1.4	44.8	3.5	7.7	7	15	1.9	3.1	3.1	4.5	0.99	0.2	0.21	28.7	3.7	5.9	5.9	8.7	1378	293	73	4.7	18.8	4	5.5	48.4	8.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Sep-10	26.2	6.8	31.2	22	2566	56	1.83	0.54
B3_0303	775	yes	9.149386	-79.851846	0-10 cm	13-Dec-17	B3	plot	0.56	8.92	6.29	5.44	6.91	6.25	21.87457162	4.65	0.45	656.2679918	113.8808589	13.40584761	8.5	4.267473401	2.301623829	19.97494484	6.56909723	0.757149927	642.5	2730	112.8	51	275	386.4	1	4.7	6	NA	NA	NA	10.3	70.9	6.9		12	182.9	15.2		16	25.2	64	433.8	94.2	17.7	21.6	3.9	4.9	5.2	4.6	10.8	1.3	18.8	1.8	5.5	8.6	22	4.1	5.1	5.3	4.8	0.95	0.23	0.24	46.4	8.5	10.6	11.1	10	964	209	44	4.6	21.7	4.7	5.4	56.1	10.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Sep-10	26.2	6.8	31.2	22	2566	56	1.83	0.54
B3_0404	778	yes	9.149386	-79.851846	0-10 cm	13-Dec-17	B3	plot	0.63	2.47	6.41	5.56	5.45	4.76	18.08581436	3.55	0.32	544.7390543	179.943084	12.92089732	13.9	1.026981491	2.274487016	16.22236583	3.301468507	1.281726888	1175	2890.6	201.4	91.1	848.4	101.7	1.4	1.9	2.1	NA	NA	NA	11.3	65.2	5.8		13.1	168.2	12.8		21.6	36.2	60	358	63.3	20.9	28.3	5	4.5	3.5	6.1	16.5	1.6	1.7	0.1	5.7	10.2	36	6.2	5.6	4.4	7.7	1.28	0.16	0.12	79.5	13.9	12.6	9.8	17.2	795	141	52	5.7	15.3	2.7	6.6	39.3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Sep-10	26.2	6.8	31.2	22	2566	56	1.83	0.54
B3_0503	780	yes	9.149386	-79.851846	0-10 cm	13-Dec-17	B3	plot	0.58	1.59	7.4	6.82	6.75	5.92	17.92754256	3.87	0.37	1028.228721	51.21181	4.50491603	11.4	0.620834194	3.415555097	8.54130532	4.03638929	3.298397771	773.5	2544.7	160.5	332	518.9	299.4	1.1	9.7	3	NA	NA	NA	10.5	37.6	3.6		12.2	97.1	7.9		17.8	28.4	63	402.4	80.4	13	17	2.9	3.8	3.5	4.8	10	1.2	5.6	0.9	5.9	8.1	19	3.2	4.3	4	5.3	1.08	0.23	0.21	43.8	7.4	9.9	9.1	12.3	894	179	33	5	27.4	5.5	5.8	70.8	12.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Sep-10	26.2	6.8	31.2	22	2566	56	1.83	0.54
B1_0202	785	yes	9.152091	-79.849108	0-10 cm	11-Dec-17	B1	plot	0.63	4.41	6.24	5.11	6.71	5.99	21.83	5.39	0.53	820.77	104.65	10.37	10.1	3.27	3.57	17.2	6.84	2.2	2119.5	2785.1	169.8	93.9	301.6	340.7	3.6	2.3	5.6	NA	NA	NA	10.1	65.6	6.5		11.8	169.2	14.3		16.6	42.3	39	446.2	102	32.5	20.6	3.1	7.5	3.9	5.9	10.5	1	11.8	1.3	6.7	10.4	21	3.1	7.6	4	5.9	1.91	0.37	0.19	38.2	5.7	13.9	7.3	10.9	992	227	81	4.4	12.2	2.8	5.1	31.5	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	05-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B1_0204	786	yes	9.152091	-79.849108	0-10 cm	11-Dec-17	B1	plot	0.62	4	7.05	6.33	6.49	5.67	19.72	4.49	0.43	787.93	138.47	14.46	9.6	3.51	2.17	20.14	5.68	0.83	2797.9	2032.9	197.4	49.6	160.7	352.8	3.6	2.6	7.7	NA	NA	NA	10.5	57	5.4		12.2	146.9	12		11.6	45.1	26	435.1	91.3	26	21.1	3.6	3.9	3.9	3.6	9.4	1.1	3.8	0.3	5.8	8.3	22	3.7	4.1	4.1	3.7	1	0.19	0.19	46.9	8.1	8.7	8.7	7.9	967	203	65	4.8	14.9	3.1	5.6	38.4	6.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	05-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B1_0303	788	yes	9.152091	-79.849108	0-10 cm	11-Dec-17	B1	plot	0.6	3.33	6.69	5.61	5.63	4.82	20.01	4.38	0.46	852.79	191.94	20.13	9.5	2.05	3.16	25.34	5.21	2.6	3136.7	849.8	246	146	162.8	300.3	5.1	5.2	3.2	NA	NA	NA	9.6	51.4	5.3		11.2	132.5	11.8		6	43.3	14	823.7	157.9	21	29.4	4	4.8	3.5	3.8	19.9	1.9	0.9	0.1	7.3	10.6	16	2.2	2.6	1.9	2.1	1.39	0.16	0.12	67.2	9.2	11	7.9	8.7	1831	351	52	5.2	34.9	6.7	6.1	89.9	14.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	05-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B1_0402	790	yes	9.152091	-79.849108	0-10 cm	11-Dec-17	B1	plot	0.56	2.31	5.62	4.5	6	5.13	18.83	4.19	0.46	876.1	95.61	10.78	8.9	2.47	1.96	15.21	4.43	1.2	2582.6	1686.6	165.7	67.3	161.9	421.7	2.7	3.5	6.3	NA	NA	NA	9.1	47.9	5.3		10.6	123.5	11.7		9.9	41.1	24	861.3	174	23.3	17.6	2.8	2.5	1.8	4.2	8.1	0.8	1.4	0.2	6.3	10.3	9	1.5	1.3	1	2.2	1.35	0.14	0.1	41.9	6.7	5.9	4.4	10	1914	387	58	5	32.8	6.6	5.8	84.7	14.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	05-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B1_0404	791	yes	9.152091	-79.849108	0-10 cm	11-Dec-17	B1	plot	0.55	2.83	6.68	5.99	6.22	5.36	20.49	4.33	0.49	876.07	79.06	8.84	8.9	2.5	2.29	13.62	4.78	1.52	2755.1	1906.1	158.2	59.2	169.6	424.4	3.3	3.8	6.8	NA	NA	NA	8.8	49.4	5.6		10.3	127.5	12.4		11.1	44.1	25	509.5	110	22.5	17.1	2.8	3	1.9	4.1	9.3	0.9	3.5	0.5	6.1	10.3	15	2.5	2.6	1.7	3.6	1.55	0.17	0.11	39.4	6.4	6.9	4.4	9.4	1132	244	56	4.6	20.1	4.3	5.4	51.9	9.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	05-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
